Industry,Number of firms,Current PE,Trailing PE,Forward PE,Aggregate Mkt Cap/ Net Income,Aggregate Mkt Cap/ Trailing Net Income,Expected growth - next 5 years,PEG Ratio,
Advertising,52,72.98,30.35,27.52,31.35,22.35,13.08%,1.71,
Aerospace/Defense,93,29.78,31.15,30.91,19.52,17.81,10.82%,1.65,
Air Transport,22,47.14,28.11,14.42,14.65,10.90,34.73%,0.31,
Apparel,64,27.86,27.82,23.93,30.23,24.26,17.01%,1.43,
Auto & Truck,22,13.55,15.06,29.57,10.00,13.03,21.93%,0.59,
Auto Parts,75,20.77,20.35,16.57,18.68,17.42,15.62%,1.11,
Bank (Money Center),13,17.83,17.26,14.78,13.46,14.52,8.57%,1.69,
Banks (Regional),676,48.76,47.60,16.81,17.95,14.78,10.68%,1.38,
Beverage (Alcoholic),22,42.64,32.93,27.46,17.39,26.48,18.87%,1.40,
Beverage (Soft),46,20.87,36.74,30.44,21.90,21.98,11.63%,1.89,
Broadcasting,28,29.89,24.79,19.55,7.09,14.01,10.07%,1.39,
Brokerage & Investment Banking,46,42.27,33.18,21.57,18.02,14.63,18.54%,0.79,
Building Materials,39,37.42,32.83,23.84,36.31,22.44,18.03%,1.24,
Business & Consumer Services,177,113.89,91.67,27.28,30.60,24.13,18.41%,1.31,
Cable TV,18,37.63,55.67,51.20,22.35,20.00,10.74%,1.86,
Chemical (Basic),46,18.18,35.40,14.37,13.78,10.76,10.62%,1.01,
Chemical (Diversified),10,19.72,18.40,14.37,12.90,16.34,10.98%,1.49,
Chemical (Specialty),103,26.61,23.73,23.71,17.96,19.13,13.41%,1.43,
Coal & Related Energy,42,38.33,11.40,38.17,NA,8.57,30.50%,0.28,
Computer Services,119,23.90,21.26,32.13,12.17,14.42,14.43%,1.00,
Computers/Peripherals,64,20.98,47.13,22.87,16.22,16.76,15.53%,1.08,
Construction Supplies,55,34.96,24.73,16.77,19.68,16.27,13.67%,1.19,
Diversified,23,22.98,22.78,26.24,19.80,19.20,11.85%,1.62,
Drugs (Biotechnology),400,50.21,223.02,42.48,176.51,27.37,23.02%,1.19,
Drugs (Pharmaceutical),151,113.63,49.13,44.51,20.42,22.89,24.00%,0.95,
Education,42,1482.37,1476.10,43.94,NA,11.51,14.75%,0.78,
Electrical Equipment,126,28.13,28.84,29.41,23.84,20.53,21.46%,0.96,
Electronics (Consumer & Office),28,38.02,53.39,25.94,60.25,46.72,21.23%,2.20,
Electronics (General),189,92.69,59.06,44.27,24.25,20.54,16.22%,1.27,
Engineering/Construction,56,62.79,26.67,16.73,25.93,18.11,14.15%,1.28,
Entertainment,84,108.31,41.75,45.62,19.82,19.16,23.97%,0.80,
Environmental & Waste Services,103,62.55,63.61,53.07,53.32,36.91,12.65%,2.92,
Farming/Agriculture,37,28.88,30.17,25.35,15.29,13.57,14.63%,0.93,
Financial Svcs. (Non-bank & Insurance),288,67.01,66.14,19.51,2.93,7.14,12.83%,0.56,
Food Processing,96,30.81,26.87,22.97,19.19,19.85,14.45%,1.37,
Food Wholesalers,14,219.74,29.92,20.95,26.08,25.05,11.20%,2.24,
Furn/Home Furnishings,27,23.48,24.81,17.47,24.65,24.75,16.29%,1.52,
Green & Renewable Energy,26,75.15,20.98,29.20,238.30,20.97,20.53%,1.02,
Healthcare Products,261,93.42,76.45,77.99,31.68,28.04,13.51%,2.07,
Healthcare Support Services,138,259.17,60.10,26.05,23.78,22.35,15.29%,1.46,
Heathcare Information and Technology,127,120.42,254.40,33.32,54.03,36.52,19.97%,1.83,
Homebuilding,35,25.04,22.85,20.70,8.91,14.28,13.92%,1.03,
Hospitals/Healthcare Facilities,56,96.84,52.89,29.64,33.22,28.15,10.36%,2.72,
Hotel/Gaming,80,115.91,28.37,26.36,69.39,25.58,16.89%,1.51,
Household Products,135,25.00,67.11,19.20,22.76,23.72,12.43%,1.91,
Information Services,67,168.49,50.40,18.17,27.33,25.94,14.05%,1.85,
Insurance (General),24,34.43,43.72,16.55,12.54,12.96,14.43%,0.90,
Insurance (Life),25,22.47,20.03,16.77,17.45,11.96,8.57%,1.40,
Insurance (Prop/Cas.),52,18.35,17.68,15.62,10.26,12.07,11.76%,1.03,
Investments & Asset Management,148,20.31,19.05,14.98,17.24,15.95,11.57%,1.38,
Machinery,137,60.43,161.09,25.62,20.93,18.06,15.08%,1.20,
Metals & Mining,124,30.65,25.80,24.76,41.26,13.82,21.88%,0.63,
Office Equipment & Services,25,23.26,19.68,16.82,28.70,17.75,16.33%,1.09,
Oil/Gas (Integrated),8,9.22,9.47,26.69,10.60,10.60,4.89%,2.17,
Oil/Gas (Production and Exploration),392,17.72,29.39,39.19,17.29,11.55,14.33%,0.81,
Oil/Gas Distribution,85,72.89,113.53,35.17,48.45,33.46,23.66%,1.41,
Oilfield Svcs/Equip.,161,85.67,18.40,24.05,15.55,12.28,13.92%,0.88,
Packaging & Container,26,24.59,26.99,18.15,20.30,19.02,10.97%,1.73,
Paper/Forest Products,22,31.39,36.87,24.57,17.18,22.87,14.28%,1.60,
Power,82,35.60,22.03,18.24,24.63,20.35,6.32%,3.22,
Precious Metals,147,216.36,17.87,21.26,NA,33.55,-23.28%,NA,
Publshing & Newspapers,43,32.73,53.61,24.00,8.88,7.73,10.39%,0.74,
R.E.I.T.,213,87.02,43.45,59.97,32.16,28.78,7.90%,3.64,
Real Estate (Development),18,40.82,147.18,36.62,NA,25.36,20.00%,1.27,
Real Estate (General/Diversified),11,156.71,70.45,61.96,103.51,9.02,14.00%,0.64,
Real Estate (Operations & Services),52,222.90,48.96,23.45,30.35,21.67,17.14%,1.26,
Recreation,68,26.91,32.94,21.34,19.04,16.36,16.25%,1.01,
Reinsurance,4,415.06,13.28,13.48,13.52,9.90,11.75%,0.84,
Restaurant/Dining,79,84.95,40.53,47.93,24.98,23.93,16.74%,1.43,
Retail (Automotive),30,24.44,19.44,19.29,22.83,20.87,14.87%,1.40,
Retail (Building Supply),5,21.64,29.90,23.65,26.78,24.10,19.33%,1.25,
Retail (Distributors),90,109.14,29.24,19.92,24.99,21.67,15.41%,1.41,
