"","Industry","Average.Unlevered.Beta","Average.Levered.Beta","Total.Unlevered.Beta","Total.Levered.Beta","Current.PE","Trailing.PE","Forward.PE","PEG.Ratio","Aggregate.Mkt.Cap.Net.Income","Aggregate.Mkt.Cap.Trailing.Net.Income","Number.of.Firms","Average.Correlation","Expected.Growth.Next.5.Years"
"1","Advertising",0.83,1.18,5.15,7.36,72.98,30.35,27.52,1.71,31.35,22.35,52,16.05,13.08
"2","Aerospace/Defense",1.06,1.16,3.43,3.76,29.78,31.15,30.91,1.65,19.52,17.81,93,30.81,10.82
"3","Air Transport",0.61,0.98,1.93,3.09,47.14,28.11,14.42,0.31,14.65,10.9,22,31.63,34.73
"4","Apparel",0.86,0.99,4.39,5.07,27.86,27.82,23.93,1.43,30.23,24.26,64,19.57,17.01
"5","Auto & Truck",0.59,1.09,2.64,4.9,13.55,15.06,29.57,0.59,10,13.03,22,22.34,21.93
"6","Auto Parts",1.14,1.35,4.44,5.24,20.77,20.35,16.57,1.11,18.68,17.42,75,25.75,15.62
"7","Bank (Money Center)",0.34,0.81,0.79,1.88,17.83,17.26,14.78,1.69,13.46,14.52,13,42.81,8.57
"8","Banks (Regional)",0.37,0.53,1.68,2.37,48.76,47.6,16.81,1.38,17.95,14.78,676,22.19,10.68
"9","Beverage (Alcoholic)",0.89,1.06,4.83,5.71,42.64,32.93,27.46,1.4,17.39,26.48,22,18.5,18.87
"10","Beverage (Soft)",0.98,1.14,6.16,7.18,20.87,36.74,30.44,1.89,21.9,21.98,46,15.84,11.63
"11","Broadcasting",0.83,1.3,2.95,4.59,29.89,24.79,19.55,1.39,7.09,14.01,28,28.26,10.07
"12","Brokerage & Investment Banking",0.41,1.16,1.35,3.81,42.27,33.18,21.57,0.79,18.02,14.63,46,30.44,18.54
"13","Building Materials",0.93,1.12,2.54,3.06,37.42,32.83,23.84,1.24,36.31,22.44,39,36.49,18.03
"14","Business & Consumer Services",1,1.19,4.07,4.88,113.89,91.67,27.28,1.31,30.6,24.13,177,24.47,18.41
"15","Cable TV",0.7,0.91,2.32,3.04,37.63,55.67,51.2,1.86,22.35,20,18,30.01,10.74
"16","Chemical (Basic)",0.75,0.94,3.72,4.62,18.18,35.4,14.37,1.01,13.78,10.76,46,20.26,10.62
"17","Chemical (Diversified)",0.99,1.17,2.1,2.5,19.72,18.4,14.37,1.49,12.9,16.34,10,46.95,10.98
"18","Chemical (Specialty)",0.91,1.03,2.87,3.22,26.61,23.73,23.71,1.43,17.96,19.13,103,31.84,13.41
"19","Coal & Related Energy",0.83,1.64,4.39,8.66,38.33,11.4,38.17,0.28,NA,8.57,42,18.97,30.5
"20","Computer Services",0.99,1.16,4.5,5.29,23.9,21.26,32.13,1,12.17,14.42,119,21.91,14.43
"21","Computers/Peripherals",1.17,1.21,4.94,5.11,20.98,47.13,22.87,1.08,16.22,16.76,64,23.71,15.53
"22","Construction Supplies",1.22,1.6,3.19,4.18,34.96,24.73,16.77,1.19,19.68,16.27,55,38.26,13.67
"23","Diversified",0.7,1,1.79,2.55,22.98,22.78,26.24,1.62,19.8,19.2,23,39.14,11.85
"24","Drugs (Biotechnology)",1.06,1.1,7.07,7.36,50.21,223.02,42.48,1.19,176.51,27.37,400,15.01,23.02
"25","Drugs (Pharmaceutical)",0.95,1.03,5.66,6.12,113.63,49.13,44.51,0.95,20.42,22.89,151,16.78,24
"26","Education",0.95,1.13,4.76,5.67,1482.37,1476.1,43.94,0.78,NA,11.51,42,19.88,14.75
